epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.3663,2.17828,4.3593,1.7746,0.64793,0.47149,0.53271,0.23167,2.07107,4.04271,1.92659,0.00052,0.00052,0.00052
2,32.475,1.75933,1.34836,1.4669,0.2382,0.48583,0.15636,0.07746,1.85966,6.96936,1.78561,0.00101802,0.00101802,0.00101802
3,43.2177,1.72427,1.06065,1.47887,0.02025,0.75207,0.01853,0.00925,1.80906,inf,1.74109,0.00147328,0.00147328,0.00147328
4,54.3247,1.69965,0.98502,1.47565,0.00904,0.40785,0.0061,0.00253,2.68293,inf,5.92652,0.0017624,0.0017624,0.0017624
5,66.3528,1.63948,0.94634,1.42077,0.04438,0.87603,0.04211,0.02113,1.68783,inf,1.64625,0.0016832,0.0016832,0.0016832
6,76.2977,1.64552,0.86252,1.41739,0.95368,0.85085,0.91899,0.50615,1.62329,1.93073,1.53768,0.001604,0.001604,0.001604
7,87.9842,1.61425,0.83017,1.38675,0.8912,0.85124,0.89126,0.47747,1.59018,4.35852,1.52334,0.0015248,0.0015248,0.0015248
8,99.8023,1.57381,0.81974,1.37939,0.95747,0.86777,0.93157,0.53555,1.61864,0.92868,1.4909,0.0014456,0.0014456,0.0014456
9,109.419,1.55255,0.77144,1.36128,0.96113,0.81732,0.91304,0.48834,1.63236,0.93423,1.54478,0.0013664,0.0013664,0.0013664
10,120.704,1.51729,0.73135,1.34112,0.94116,0.87603,0.94742,0.54733,1.55716,0.76896,1.44274,0.0012872,0.0012872,0.0012872
11,132.815,1.51298,0.74304,1.3439,0.92923,0.8681,0.93486,0.54288,1.50666,0.77891,1.42304,0.001208,0.001208,0.001208
12,142.61,1.50917,0.69677,1.32303,0.96166,0.89256,0.9465,0.5335,1.56852,0.78284,1.46774,0.0011288,0.0011288,0.0011288
13,157.19,1.49592,0.69727,1.32524,0.95618,0.90083,0.94945,0.55519,1.53075,0.68673,1.43949,0.0010496,0.0010496,0.0010496
14,169.262,1.44055,0.69752,1.32643,0.95914,0.89256,0.95809,0.54803,1.57138,0.71406,1.46614,0.0009704,0.0009704,0.0009704
15,179.378,1.42893,0.68181,1.29775,0.97229,0.86998,0.95706,0.54391,1.53599,0.69438,1.44543,0.0008912,0.0008912,0.0008912
16,194.826,1.40014,0.62037,1.37498,0.95341,0.87603,0.95305,0.56234,1.54808,0.65209,1.45003,0.000812,0.000812,0.000812
17,206.348,1.34094,0.60512,1.35872,0.89013,0.93744,0.94721,0.54641,1.55895,0.66838,1.4513,0.0007328,0.0007328,0.0007328
18,218.413,1.33252,0.58167,1.35958,0.94866,0.91632,0.95116,0.58018,1.4706,0.63431,1.40902,0.0006536,0.0006536,0.0006536
19,227.851,1.3447,0.56772,1.33386,0.92788,0.90909,0.96784,0.58837,1.51016,0.60389,1.39901,0.0005744,0.0005744,0.0005744
20,239.937,1.31881,0.55963,1.32805,0.94816,0.90701,0.96451,0.56895,1.50434,0.57514,1.41976,0.0004952,0.0004952,0.0004952
21,250.379,1.2925,0.54266,1.29815,0.97301,0.91736,0.9741,0.59063,1.46945,0.56417,1.38505,0.000416,0.000416,0.000416
22,261.062,1.27987,0.53422,1.31242,0.95779,0.9377,0.96511,0.6047,1.48254,0.54182,1.407,0.0003368,0.0003368,0.0003368
23,273.092,1.24291,0.52139,1.2977,0.95239,0.93388,0.96443,0.59143,1.52009,0.56513,1.42399,0.0002576,0.0002576,0.0002576
24,282.393,1.22265,0.51041,1.25615,0.96179,0.94215,0.9635,0.59138,1.4973,0.55164,1.3994,0.0001784,0.0001784,0.0001784
25,293.884,1.22456,0.49964,1.26585,0.9636,0.94215,0.96729,0.60423,1.46956,0.54164,1.38627,9.92e-05,9.92e-05,9.92e-05
