                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0852,                 3.4268,                 1.6062,                0.90473,                0.65289,                0.71936,                0.40279,                 1.6578,                 1.9855,                 1.3375,                0.00052,                0.00052,                0.00052
                      2,                  1.703,                 1.1678,                 1.3258,                0.84467,                0.76404,                0.78307,                0.44364,                 1.7129,                 1.3879,                 1.4222,               0.001018,               0.001018,               0.001018
                      3,                 1.6581,                 1.0419,                 1.3158,                 0.0369,                0.63636,                  0.031,                0.01489,                 1.8383,                    inf,                 2.5114,              0.0014733,              0.0014733,              0.0014733
                      4,                 1.6891,                 1.0333,                   1.33,                0.69594,                0.71074,                0.73566,                0.41369,                  1.647,                 1.7883,                 1.4216,              0.0017624,              0.0017624,              0.0017624
                      5,                 1.6096,                0.91999,                 1.3033,                0.96086,                 0.7438,                0.82718,                0.46138,                 1.6176,                 1.2174,                 1.3724,              0.0016832,              0.0016832,              0.0016832
                      6,                 1.6105,                0.85599,                 1.2879,                0.92693,                0.77686,                0.83812,                0.46608,                 1.7402,                 1.2439,                 1.3843,               0.001604,               0.001604,               0.001604
                      7,                 1.5385,                0.80374,                  1.251,                 0.8765,                0.79339,                0.86132,                0.48061,                 1.6032,                  1.172,                 1.3381,              0.0015248,              0.0015248,              0.0015248
                      8,                 1.5054,                0.79024,                 1.2357,                0.89811,                0.87422,                0.92438,                 0.5279,                 1.5802,                0.84515,                 1.3239,              0.0014456,              0.0014456,              0.0014456
                      9,                 1.4973,                0.76183,                 1.2236,                0.92373,                0.86777,                0.92921,                0.52742,                 1.6565,                0.95387,                 1.3231,              0.0013664,              0.0013664,              0.0013664
                     10,                 1.4844,                0.74841,                 1.2252,                0.93484,                0.87603,                0.93181,                0.53987,                 1.5653,                0.74835,                 1.3248,              0.0012872,              0.0012872,              0.0012872
                     11,                 1.4817,                 0.7272,                 1.2304,                0.94663,                0.87953,                 0.9324,                0.54366,                 1.5185,                0.75638,                 1.2514,               0.001208,               0.001208,               0.001208
                     12,                 1.4369,                0.69988,                 1.1987,                0.98176,                0.88963,                0.94316,                0.54295,                 1.5338,                0.74488,                 1.2966,              0.0011288,              0.0011288,              0.0011288
                     13,                 1.4303,                0.67677,                 1.2049,                0.96911,                0.86777,                0.93496,                0.53291,                 1.6016,                0.71586,                 1.3278,              0.0010496,              0.0010496,              0.0010496
                     14,                 1.3746,                0.64123,                  1.181,                 0.9587,                0.89256,                0.96071,                0.54118,                 1.6057,                0.68137,                  1.328,              0.0009704,              0.0009704,              0.0009704
                     15,                 1.3609,                0.64157,                 1.1731,                0.94043,                0.91334,                0.94863,                0.54504,                 1.5978,                0.69712,                 1.3152,              0.0008912,              0.0008912,              0.0008912
                     16,                 1.3236,                0.57094,                 1.1797,                0.91871,                0.93402,                0.96686,                0.57433,                 1.5009,                0.62923,                 1.2541,               0.000812,               0.000812,               0.000812
                     17,                 1.3005,                0.56357,                  1.174,                0.92679,                0.94162,                0.96071,                0.58699,                 1.4882,                0.63366,                 1.2589,              0.0007328,              0.0007328,              0.0007328
                     18,                 1.2753,                0.55228,                 1.1613,                0.95013,                0.94477,                0.96295,                0.56578,                 1.5317,                0.65936,                 1.2836,              0.0006536,              0.0006536,              0.0006536
                     19,                  1.267,                0.54013,                 1.1441,                 0.9646,                0.90071,                0.95686,                0.57636,                  1.529,                0.62136,                 1.2789,              0.0005744,              0.0005744,              0.0005744
                     20,                 1.2737,                0.54553,                 1.1433,                0.93363,                0.93002,                0.94654,                0.55219,                 1.5254,                0.66048,                 1.2574,              0.0004952,              0.0004952,              0.0004952
                     21,                 1.2175,                0.51584,                 1.1096,                0.95743,                0.92933,                0.95907,                0.57224,                 1.5945,                0.64996,                  1.267,               0.000416,               0.000416,               0.000416
                     22,                 1.2116,                 0.4996,                 1.1238,                0.97834,                0.90909,                0.96214,                0.58654,                 1.5766,                0.64773,                 1.2733,              0.0003368,              0.0003368,              0.0003368
                     23,                 1.1809,                0.48408,                 1.1051,                 0.9663,                0.94779,                0.97773,                0.59468,                 1.5513,                0.60012,                  1.269,              0.0002576,              0.0002576,              0.0002576
                     24,                 1.1607,                0.47203,                 1.0855,                0.97433,                0.94109,                0.97454,                0.59907,                 1.5683,                0.59761,                 1.2701,              0.0001784,              0.0001784,              0.0001784
                     25,                 1.1365,                0.45717,                 1.0775,                0.97433,                0.94111,                0.97156,                0.59258,                 1.5276,                0.57827,                 1.2598,               9.92e-05,               9.92e-05,               9.92e-05
